id,stateface,name,abbr,electoral_votes,polls_close,prediction,ap_call,ap_called_at,accept_ap_call,npr_call,npr_called_at,total_precincts,precincts_reporting,rep_vote_count,dem_vote_count
al,B,Alabama,Ala.,9,2012-11-06 08:00 PM,sr,u,,y,n,,,,,
ak,A,Alaska,Alaska,3,2012-11-07 01:00 AM,sr,u,,y,n,,,,,
az,D,Arizona,Ariz.,11,2012-11-06 10:00 PM,lr,u,,y,n,,,,,
ar,C,Arkansas,Ark.,6,2012-11-06 08:30 PM,sr,u,,y,n,,,,,
ca,E,California,Calif.,55,2012-11-06 11:00 PM,sd,u,,y,n,,,,,
co,F,Colorado,Colo.,9,2012-11-06 09:00 PM,t,u,,n,n,,,,,
ct,G,Connecticut,Conn.,7,2012-11-06 08:00 PM,ld,u,,y,n,,,,,
de,H,Delaware,Del.,3,2012-11-06 08:00 PM,sd,u,,y,n,,,,,
dc,y,District Of Columbia,D.C.,3,2012-11-06 08:00 PM,sd,u,,y,n,,,,,
fl,I,Florida,Fla.,29,2012-11-06 07:00 PM,t,u,,n,n,,,,,
ga,J,Georgia,Ga.,16,2012-11-06 07:00 PM,lr,u,,y,n,,,,,
hi,K,Hawaii,Hawaii,4,2012-11-06 11:00 PM,sd,u,,y,n,,,,,
id,M,Idaho,Idaho,4,2012-11-06 11:00 PM,sr,u,,y,n,,,,,
il,N,Illinois,Ill.,20,2012-11-06 08:00 PM,sd,u,,y,n,,,,,
in,O,Indiana,Ind.,11,2012-11-06 06:00 PM,lr,u,,y,n,,,,,
ia,L,Iowa,Iowa,6,2012-11-06 10:00 PM,t,u,,n,n,,,,,
ks,P,Kansas,Kan.,6,2012-11-06 08:00 PM,sr,u,,y,n,,,,,
ky,Q,Kentucky,Ky.,8,2012-11-06 06:00 PM,sr,u,,y,n,,,,,
la,R,Louisiana,La.,8,2012-11-06 09:00 PM,sr,u,,y,n,,,,,
me,U,Maine Statewide,Maine,2,2012-11-06 08:00 PM,ld,u,,y,n,,,,,
me1,U,Maine District 1,Maine 1st,1,2012-11-06 08:00 PM,ld,u,,y,n,,,,,
me2,U,Maine District 2,Maine 2nd,1,2012-11-06 08:00 PM,ld,u,,y,n,,,,,
md,T,Maryland,Md.,10,2012-11-06 08:00 PM,sd,u,,y,n,,,,,
ma,S,Massachusetts,Mass.,11,2012-11-06 08:00 PM,sd,u,,y,n,,,,,
mi,V,Michigan,Mich.,16,2012-11-06 08:00 PM,ld,u,,y,n,,,,,
mn,W,Minnesota,Minn.,10,2012-11-06 09:00 PM,ld,u,,y,n,,,,,
ms,Y,Mississippi,Miss.,6,2012-11-06 08:00 PM,sr,u,,y,n,,,,,
mo,X,Missouri,Mo.,10,2012-11-06 08:00 PM,lr,u,,y,n,,,,,
mt,Z,Montana,Mont.,3,2012-11-06 10:00 PM,lr,u,,y,n,,,,,
ne,c,Nebraska Statewide,Neb.,2,2012-11-06 09:00 PM,sr,u,,y,n,,,,,
ne1,c,Nebraska District 1,Neb. 1st,1,2012-11-06 09:00 PM,sr,u,,y,n,,,,,
ne2,c,Nebraska District 2,Neb. 2nd,1,2012-11-06 09:00 PM,lr,u,,y,n,,,,,
ne3,c,Nebraska District 3,Neb. 3rd,1,2012-11-06 09:00 PM,sr,u,,y,n,,,,,
nv,g,Nevada,Nev.,6,2012-11-06 10:00 PM,t,u,,n,n,,,,,
nh,d,New Hampshire,N.H.,4,2012-11-06 07:00 PM,t,u,,n,n,,,,,
nj,e,New Jersey,N.J.,14,2012-11-06 08:00 PM,ld,u,,y,n,,,,,
nm,f,New Mexico,N.M.,5,2012-11-06 09:00 PM,ld,u,,y,n,,,,,
ny,h,New York,N.Y.,29,2012-11-06 09:00 PM,sd,u,,y,n,,,,,
nc,a,North Carolina,N.C.,15,2012-11-06 07:30 PM,lr,u,,y,n,,,,,
nd,b,North Dakota,N.D.,3,2012-11-06 08:00 PM,lr,u,,y,n,,,,,
oh,i,Ohio,Ohio,18,2012-11-06 07:30 PM,t,u,,y,n,,,,,
ok,j,Oklahoma,Okla.,7,2012-11-06 08:00 PM,sr,u,,y,n,,,,,
or,k,Oregon,Ore.,7,2012-11-06 11:00 PM,ld,u,,y,n,,,,,
pa,l,Pennsylvania,Pa.,20,2012-11-06 08:00 PM,ld,u,,y,n,,,,,
ri,m,Rhode Island,R.I.,4,2012-11-06 08:00 PM,sd,u,,y,n,,,,,
sc,n,South Carolina,S.C.,9,2012-11-06 07:00 PM,sr,u,,y,n,,,,,
sd,o,South Dakota,S.D.,3,2012-11-06 09:00 PM,lr,u,,y,n,,,,,
tn,p,Tennessee,Tenn.,11,2012-11-06 08:00 PM,lr,u,,y,n,,,,,
tx,q,Texas,Texas,38,2012-11-06 08:00 PM,sr,u,,y,n,,,,,
ut,r,Utah,Utah,6,2012-11-06 10:00 PM,sr,u,,y,n,,,,,
vt,t,Vermont,Vt.,3,2012-11-06 07:00 PM,sd,u,,n,n,,,,,
va,s,Virginia,Va.,13,2012-11-06 07:00 PM,t,u,,n,n,,,,,
wa,u,Washington,Wash.,12,2012-11-06 11:00 PM,ld,u,,y,n,,,,,
wv,w,West Virginia,W.Va.,5,2012-11-06 07:30 PM,sr,u,,y,n,,,,,
wi,v,Wisconsin,Wis.,10,2012-11-06 09:00 PM,t,u,,n,n,,,,,
wy,x,Wyoming,Wyo.,3,2012-11-06 09:00 PM,sr,u,,y,n,,,,,
