state_postal,state_name,office_code,district_id,office_name,district_name,precincts_reporting,total_precincts,ap_npid,first_name,last_name,middle_name,junior,use_junior,incumbent,party,vote_count,ap_winner,ap_winner_time,npr_winner,npr_winner_time
AK,Alaska,H,1,U.S. House,District 1,183,183,52021,Sharon,Cissna,,,0,0,Dem,98976,,,,
AK,Alaska,H,1,U.S. House,District 1,183,183,513,Don,Young,,,0,1,GOP,108922,X,,,
AK,Alaska,H,1,U.S. House,District 1,183,183,51351,Ted,Gianoutsos,,,0,0,NPD,19943,,,,
AK,Alaska,H,1,U.S. House,District 1,183,183,62643,Jim,McDermott,,,0,0,Lib,19597,,,,
AL,Alabama,H,1,U.S. House,District 1,0,0,1004,Jo,Bonner,,,0,1,GOP,0,X,,,
AL,Alabama,H,4,U.S. House,District 4,456,456,62164,Daniel,Boman,,,0,0,Dem,93143,,,,
AL,Alabama,H,4,U.S. House,District 4,456,456,523,Robert,Aderholt,,,0,1,GOP,113841,X,,,
AL,Alabama,H,2,U.S. House,District 2,372,372,62162,Therese,Ford,,,0,0,Dem,92706,,,,
AL,Alabama,H,2,U.S. House,District 2,372,372,60628,Martha,Roby,,,0,1,GOP,113307,X,,,
AL,Alabama,H,3,U.S. House,District 3,298,298,62163,John,Harris,,,0,0,Dem,95245,,,,
AL,Alabama,H,3,U.S. House,District 3,298,298,1161,Mike,Rogers,,,0,1,GOP,116409,X,,,
AL,Alabama,H,5,U.S. House,District 5,214,214,62166,Charlie,Holley,,,0,0,Dem,92723,,,,
AL,Alabama,H,5,U.S. House,District 5,214,214,60629,Mo,Brooks,,,0,1,GOP,113328,X,,,
AL,Alabama,H,6,U.S. House,District 6,199,199,62167,Penny,Bailey,,,0,0,Dem,94940,,,,
AL,Alabama,H,6,U.S. House,District 6,199,199,526,Spencer,Bachus,,,0,1,GOP,116036,X,,,
AL,Alabama,H,7,U.S. House,District 7,391,391,60639,Terri,Sewell,,,0,1,Dem,123533,X,,,
AL,Alabama,H,7,U.S. House,District 7,391,391,3198,Don,Chamberlain,,,0,0,GOP,101071,,,,
AR,Arkansas,H,1,U.S. House,District 1,670,670,61866,Scott,Ellington,,,0,0,Dem,90503,X,,,
AR,Arkansas,H,1,U.S. House,District 1,670,670,60226,Rick,Crawford,,,0,1,GOP,70391,,,,
AR,Arkansas,H,1,U.S. House,District 1,670,670,62180,Jacob,Holloway,,,0,0,Grn,24134,,,,
AR,Arkansas,H,1,U.S. House,District 1,670,670,62181,Jessica,Paxton,,,0,0,Lib,16089,,,,
AR,Arkansas,H,2,U.S. House,District 2,375,375,61868,Herb,Rule,,,0,0,Dem,94385,X,,,
AR,Arkansas,H,2,U.S. House,District 2,375,375,60231,Tim,Griffin,,,0,1,GOP,73411,,,,
