id,stateface,name,electoral_votes,prediction,ap_call,accept_ap_call,npr_call,total_precincts,precincts_reporting,rep_vote_count,dem_vote_count
al,B,Alabama,9,sr,u,y,n,,,,
ak,A,Alaska,3,sr,u,y,n,,,,
az,D,Arizona,11,lr,u,y,n,,,,
ar,C,Arkansas,6,sr,u,y,n,,,,
ca,E,California,55,sd,u,y,n,,,,
co,F,Colorado,9,t,u,n,n,,,,
ct,G,Connecticut,7,sd,u,y,n,,,,
de,H,Delaware,3,sd,u,y,n,,,,
dc,y,District Of Columbia,3,sd,u,y,n,,,,
fl,I,Florida,29,t,u,n,n,,,,
ga,J,Georgia,16,sr,u,y,n,,,,
hi,K,Hawaii,4,sd,u,y,n,,,,
id,M,Idaho,4,sr,u,y,n,,,,
il,N,Illinois,20,sd,u,y,n,,,,
in,O,Indiana,11,lr,u,y,n,,,,
ia,L,Iowa,6,t,u,n,n,,,,
ks,P,Kansas,6,sr,u,y,n,,,,
ky,Q,Kentucky,8,sr,u,y,n,,,,
la,R,Louisiana,8,sr,u,y,n,,,,
me,U,Maine Statewide,2,sd,u,y,n,,,,
me1,U,Maine District 1,1,sd,u,y,n,,,,
me2,U,Maine District 2,1,ld,u,y,n,,,,
md,T,Maryland,10,sd,u,y,n,,,,
ma,S,Massachusetts,11,sd,u,y,n,,,,
mi,V,Michigan,16,ld,u,y,n,,,,
mn,W,Minnesota,10,ld,u,y,n,,,,
ms,Y,Mississippi,6,sr,u,y,n,,,,
mo,X,Missouri,10,lr,u,y,n,,,,
mt,Z,Montana,3,sr,u,y,n,,,,
ne,c,Nebraska Statewide,2,sr,u,y,n,,,,
ne1,c,Nebraska District 1,1,sr,u,y,n,,,,
ne2,c,Nebraska District 2,1,lr,u,y,n,,,,
ne3,c,Nebraska District 3,1,sr,u,y,n,,,,
nv,g,Nevada,6,t,u,n,n,,,,
nh,d,New Hampshire,4,t,u,n,n,,,,
nj,e,New Jersey,14,sd,u,y,n,,,,
nm,f,New Mexico,5,ld,u,y,n,,,,
ny,h,New York,29,sd,u,y,n,,,,
nc,a,North Carolina,15,lr,u,y,n,,,,
nd,b,North Dakota,3,sr,u,y,n,,,,
oh,i,Ohio,18,t,u,n,n,,,,
ok,j,Oklahoma,7,sr,u,y,n,,,,
or,k,Oregon,7,sd,u,y,n,,,,
pa,l,Pennsylvania,20,ld,u,y,n,,,,
ri,m,Rhode Island,4,sd,u,y,n,,,,
sc,n,South Carolina,9,sr,u,y,n,,,,
sd,o,South Dakota,3,sr,u,y,n,,,,
tn,p,Tennessee,11,sr,u,y,n,,,,
tx,q,Texas,38,sr,u,y,n,,,,
ut,r,Utah,6,sr,u,y,n,,,,
vt,t,Vermont,3,t,u,n,n,,,,
va,s,Virginia,13,t,u,n,n,,,,
wa,u,Washington,12,sd,u,y,n,,,,
wv,w,West Virginia,5,sr,u,y,n,,,,
wi,v,Wisconsin,10,t,u,n,n,,,,
wy,x,Wyoming,3,sr,u,y,n,,,,
